X,Y
Изобретение относится к способу обезвреживания хромсодержащих отходов гальванического производства,обезвреживания хромсодержащих отходов
"Предметом данного изобретения являются новые производные метиленбисфосфоновой кислоты, особенно новые ангидриды галоген-замещенной метиленбисфосфоновой кислоты, ангидриды сложного эфира, ангидриды амида и ангидриды сложного эфирамида, способы получения этих новых соединений, а также фармацевтические препараты, содержащие эти новые соединения.",новые производные метиленбисфосфоновой кислоты
"Задачей настоящего изобретения является создание углеводородных композиций, имеющих улучшенные свойства снижения температуры потери текучести, помутнения и/или забивки фильтра при холодном фильтровании при более низкой концентрации.",создание углеводородных композиций
Изобретение относится к электропечам постоянного тока для плавления металлического сырья,электропечь постоянного ток для плавления металлического сырья
"Сравнение предлагаемого изобретения с традиционной технологией показывает, что, помимо радикального повышения уровня экологической и пожарной безопасности, имеет место снижение себестоимости основного продукта на 30-40%",повышения уровня экологической и пожарной безопасности
технический результат заявленного способа заключается в повышении эффективности извлечения меди с улучшением экологической чистоты процесса.,повышении эффективности извлечения меди
"Техническим результатом является уменьшение теплопроводности и плотности жаростойкого бетона при обеспечении прочности, достаточной для практического применения",уменьшение теплопроводности и плотности жаростойкого бетона
"Задача настоящего изобретения заключается в создании внутренней антенны для мобильных устройств связи, которая хотя и является очень малой по сравнению с известными антеннами, все же, тем не менее, способна работать с высокой эффективностью",в создании внутренней антенны для мобильных устройств
Изобретение относится к подовому электроду для металлургической емкости,"создание катодного контакта на периферии ванны расплава,"
"Изобретение относится к способу получения базового масла, характеризующегося индексом вязкости в диапазоне от 80 до 140, из исходного сырья в виде вакуумного дистиллята либо в виде деасфальтированного масла в результате введения исходного сырья в присутствии водорода в контакт с катализатором, содержащим металл группы VIB и неблагородный металл группы VIII на аморфном носителе, с последующей стадией депарафинизации.",получения базового масла
Задачей изобретения является создание нового теплоизоляционного бетона с улучшенными звукозащитными и теплозащитными свойствами материала при повышении прочности при изгибе и увеличении общей пористости материала.,создание нового теплоизоляционного бетона
"Основной технической задачей настоящего изобретения является разработка сплава, характеризующегося температурой плавления ниже температуры полиморфного превращения циркония при одновременном повышении активности припоя для соединения разнородных материалов, в том числе и керамики, и обеспечении возможности его изготовления в виде пластичной ленты.",разработка сплава и припоя для соединения разнородных материалов
"Изобретение относится к области физико-химических средств очистки и обезвреживания жидких сред, представляющих собой различные растворители, загрязненные токсичными или нежелательными по другим причинам компонентами, которые необходимо удалить или трансформировать с образованием нетоксичных веществ.",средства очистки и обезвреживания жидких сред
"Смесь обеспечивает цементацию шлама-осадка без его предварительного обезвоживания, что обеспечивает экономию энергоресурсов и трудозатрат, обеспечивает обезвреживание шлама за счет хемосорбции содержащихся в нем тяжелых металлов, стерилизации смеси - уничтожения микроорганизмов, яиц гельминтов и т.д.",Смесь обеспечивает цементацию шлама-осадка
Задачей предложенного изобретения является разработка технологии и аппаратуры для проведения процесса выщелачивания.,разработка технологии и аппаратуры
"Цель изобретения - расширить сырьевую базу и создать дешевый, биостойкий, огнестойкий, экологически чистый, имеющий малую усадку, транспортабельный теплоизоляционный материал типа ваты",расширить сырьевую базу и создать транспортабельный теплоизоляционный материал типа ваты
Задачей предлагаемого изобретения является полное извлечение всех тяжелых металлов из шламов гальванического производства,полное извлечение всех тяжелых металлов из шламов
"изобретение ставит своей задачей предложить материал для удерживания полигалогенированных соединений,",предложить материал для удерживания полигалогенированных соединений
Целью изобретения является повышение эффективности работы системы при утилизации отходов.,повышение эффективности работы системы.
"Технический результат - уменьшение пенообразования, снижение начальной скорости реакции и времени обработки при переработке подобных оксидных шлаков, повышение надежности и скорости реакции, восстановление оксидов металлов в шлаке.",уменьшение пенообразования
Технической задачей изобретения является получение брикетов для производства металлов и сплавов удовлетворительной механической и термической прочности и снижение затрат на их производства.,получение брикетов для производства металлов и сплавов
 Способ позволяет избежать засорения анолитной камеры,позволяет избежать засорения анолитной камеры
"Таким образом, разработанный способ обеспечивает избирательное извлечение ванадия из многокомпонентного техногенного сырья отходов производства, содержащих помимо ванадия (V2O3) 10-100-кратные количества оксидов других металлов.",обеспечивает избирательное извлечение ванадия
"Достигается удешевление за счет использования отходов, повышается степень чистоты жидких металлических сплавов",удешевляется и повышается чистота жидких металлических сплавов.
"Технический эффект - увеличение времени жизни катализатора, повышение его активности и селективности, поддержание выхода желаемых олефинов",увеличение времени жизни катализатора и повышение его активности
"Результат изобретения: способ является безотходным, организован в замкнутом цикле и безопасен с точки зрения пожаро- и взрывоопасности.",получение безотходного производства в замкнутом цикле
Способ переработки лома изделий электронной техники,позволяет снизить длительность цикла извлечения благородных металлов
Целью предлагаемого изобретения является повышение качества извлечения чистых минералов или их концентратов.,повышает качество извлечения чистых минералов
Задачей настоящего изобретения является обеспечение улучшения производительности известных поверхностно-активных алкиларилсульфонатов, улучшения производительности известных поверхностно-активных алкиларилсульфонатов.
"Задачей настоящего изобретения является: получение пленки, обладающей помимо требуемой превосходной адгезии к стеклу, также пониженной собственной клейкостью,","получение пленки,"
Цель увеличение содержания платины и палладия в растворе и повышение степени их извлечения,увеличение содержания платины и палладия
Изобретение относится к гидрометаллургии платиновых металлов,увеличение содержания платины и палладия в растворе и повышение степени их извлечения.
Задачей изобретения является также предоставление шумопоглощающего материала,предоставление шумопоглощающего материала
изобретение направлено на разработку способа обработки сульфидных руд,разработку способа обработки сульфидных руд металлов
"В основу изобретения положена задача создания используемого в качестве строительного материала экологически чистого продута переработки промышленных и бытовых отходов, который содержит 30 - 80 вес.% органического материала и имеет пожаростойкость свыше 65 минут",создания используемого в качестве строительного материала экологически чистого продута переработки промышленных и бытовых отходов
"Целью изобретения является сокращение продолжительности процесса, уменьшение количества ступеней экстракции и повышение качества получаемого продукта.",сокращение продолжительности процесса и повышение качества получаемого продукта.
"Настоящее изобретение относится к получению сложного эфира амидокислоты, полезного в качестве промежуточного продукта для агрохимического препарата. ,",получению сложного эфира амидокислоты
"Задачей настоящего изобретения является создание способа очистки сточных вод, который включает в себя оптимизированную операцию окисления, то есть, другими словами, операцию, в которой количество окисляющего продукта, необходимое для обработки заданного объема сточных вод, будет меньше, чем в случае обычной технологии окисления.",способ очистки сточных вод;
Технический результат - использование регенерированного катализатора в течение длительного периода времени при обеспечении постоянной конверсии и селективности по продукту в процессе эпоксидирования.,использование регенерированного катализатора в течение длительного периода времени;
"Настоящее изобретение относится к способу производства высокопрочного стального листа, обладающего улучшенной прочностью, пластичностью и формуемостью, и к стальным листам, получаемым с помощью данного способа.",способ производства высокопрочного стального листа;
"Изобретение относится к напиткам с использованием сопутствующего продукта, полученного при извлечении сока.",напиток с использованием сопутствующего продукта;
Технический результат заключается в повышении эффективности замены бурового долота.,повышение эффективности замены бурового долота;
Настоящее изобретение относится к вулканизованному каучуку и способу его получения.,вулканизованный каучук и способы его получения;
"Технический результат - соединения формулы (I) активируют форму растворимой гуанилатциклазы, не содержащей гем, и предназначены для применения в способе лечения и/или профилактики сердечной недостаточности, стенокардии, гипертензии, легочной гипертензии, ишемии, заболеваний сосудов, нарушений микроциркуляции, тромбоэмболических заболеваний и артериосклероза.","способ лечения и/или профилактики сердечной недостаточности, стенокардии, гипертензии, легочной гипертензии, ишемии, заболеваний сосудов, нарушений микроциркуляции, тромбоэмболических заболеваний и артериосклероза;соединения формулы с растворимой гуанилатциклазы без гем;"
"Следовательно, задачей данного изобретения было предоставление новых соединений, которые действуют описанным выше образом как активаторы растворимой гуанилатциклазы, и в качестве таковых могут использоваться, в частности, для лечения и профилактики сердечно-сосудистых заболеваний.",лечение и профилактика сердечно-сосудистых заболеваний;соединения активаторы растворимой гуанилатциклазы;
"Целью данного изобретения является предоставление метода для измерения коррозии высокотемпературных поверхностей котла, в частности, энергетического котла на основе сжигания отходов при эксплуатационной загрузке.",метод для измерения коррозии высокотемпературных поверхностей котла;сжигание отходов при эксплуатационной загрузке;
"Изобретение направлено на осуществление способа переработки отходов и эксплуатации индукционной канальной печи в энергосберегающем режиме, который позволяет улучшить отделение летучих металлов и контроль вязкости шлака.",способ переработки отходов и эксплуатации индукционной канальной печи в энергосберегающем режиме;
Группа изобретений относится к вариантам способа получения топлива или растворителя из источника жирных кислот.,способ получения топлива или растворителя  из источника жирных кислот;
Изобретение относится к способам извлечения алюминия путем экстракции ионов алюминия и/или железа из глиноземистых руд или смеси.,способ извлечения алюминия путем экстракции ионов алюминия и/или железа из глиноземистых руд или смеси;
"Целью настоящего изобретения является решение вышеуказанной проблемы и создание способа подачи смазочного масла в процессе холодной прокатки, который позволяет с высокой точностью регулировать подачу смазки.",способ подачи смазочного масла в процессе холодной прокатки;
"Таким образом, при использовании фрикционного блока тормозных накладок, имеющего экструзионные отверстия в опорной плите, через которые вводится под давлением смесь фрикционных материалов или смесь нижнего слоя в процессе формирования, как описано в указанном патенте, возникает необходимость обеспечить дополнительные шумопоглощающие свойства без увеличения стоимости опорной плиты или увеличении продолжительность процесса изготовления тормозного узла.","использования фрикционного блока тормозных накладок;экструзионные отверстия в опорной плите, через которые вводится под давлением смесь фрикционных материалов или смесь нижнего слоя в процессе формирования;"
Изобретения относятся к механизмам регулирования положения спинки сиденья относительно подушки сиденья.,механизм регулирования положения спинки сиденья относительно подушки сиденья;
"Изобретение относится к способу обработки с помощью гидрокрекинга и гидроизомеризации навесок, полученных по способу Фишера-Тропша.","обработка с помощью гидрокрекинга и гидроизомеризации навесок, полученных по способу Фишера-Тропша;"
"Задачей изобретения является создание адгезивного строительного раствора, устойчивого к налету солей, возникающему вследствие миграции в стенах сооружений растворенных солей, которые разрушают строительный раствор.","создание адгезивного строительного раствора, устойчивого к налету солей;"
"Технический результат - катализатор позволяет получить выгодные селективности по средним дистиллятам, т.е. по фракциям с начальной температурой кипения по меньшей мере 150°С и конечной, доходящей до значения начальной температуры кипения остатка, например, ниже 340°С или также 370°С.",получение выгодных селективностей по средним дистиллятам;
Технический результат - композиции битумного вяжущего имеют повышенную пластичность и не требуют добавления серосодержащих сшивающих агентов.,композиция битумного вяжущего;
"Предложенная композиция проявляет высокие стабилизирующие свойства и, будучи жидкой при комнатной температуре, является эффективным средством стабилизации термопластичных смол и эластомеров при их производстве.",стабилизация термопластичных смол и эластомеров;
"Технический результат - получение новых соединений азетидина, обладающих активностью антагонистов рецептора орексина.",получение новых соединений азетидина;
Настоящее изобретение относится к многостадийному способу получения гетерофазных сополимеров пропилена путем использования специального класса металлоценовых соединений.,способ получения гетерофазных сополимеров пропилена;использование специального класса металлоценовых соединений;
"Технический результат - улучшенная изолирующая текучая среда, имеющая низкую теплопроводность с широким диапазоном плотности при высоких температурах.",изолирующая текучая среда;
"Настоящее изобретение относится к очистке и конверсии сырья, которое представляет собой тяжелые углеводородные фракции, в состав которых кроме прочего входят серосодержащие, азотсодержащие и металлические примеси.",очистка и конверсия сырья;
"Изобретения позволяют извлекать аммиак из сточной воды с получением смеси аммиака и водяного пара, технической воды и газа, богатого CO2 и H2S, который используют для производства серной кислоты.",извлечение аммиака из сточной воды;
"Одной из задач настоящего изобретения является предоставление способа получения молочной кислоты с высокой продуктивностью, которую можно применять для получения полимолочной кислоты в промышленном масштабе путем прямой полимеризации и можно применять для высокопродуктивного синтеза лактида; и способов получения лактида и полимолочной кислоты с использованием молочной кислоты.",способ получения молочной кислоты;прямая полимеризация;
"В частности, настоящее изобретение относится к экструдированному алюминиевому усиливающему элементу, скрепленному с алюминиевым поперечным элементом, которые вместе поддерживают дно платформы грузового автомобиля пикап.",поддерживание дна платформы грузового автомобиля пикап;экструдированный алюминиевый усиливающий элемент;
"Техническим результатом настоящего изобретения является получение рабочей жидкости, содержащей смазывающее вещество на основе сложных эфиров полиолов, обеспечивающие превосходную вязкость и смазывающую способность вместе с неожиданно превосходной смешиваемостью с хладагентом на основе СО.","получение рабочей жидкости, содержащей смазывающее вещество на основе сложных эфиров полиолов;"
"В частности, настоящее изобретение относится к акрил-силиконовым гибридным модификаторам ударной вязкости, имеющим превосходную ударопрочность, погодостойкость и высокие показатели блеска, способу их получения и содержащим их композициям на основе винилхлоридной смолы.",акрил-силиконовый гибридный модификатор ударной вязкости;
Первой целью данного изобретения является предоставление реалистичного и технически выполнимого решения проблемы потери избирательности по пропилену по ходу рабочего цикла прототипа ОТР процесса с неподвижным слоем.,потеря избирательности по пропилену по ходу рабочего цикла прототипа ОТР;
"Другой целью настоящего изобретения является снижение серьезной дезактивации двоякодействующего ОТР катализатора, применяемого в ОТР процессе согласно настоящему изобретению, чтобы свести к минимуму сложность этапа регенерации, необходимого для восстановления активности свежего катализатора, таким образом, сводя к минимуму гидротермическое разрушение и продлевая жизнь катализатора.",сводение к минимуму гидротермическое разрушение;снижение серьезной дезактивации двоякодействующего ОТР катализатора;
"Изобретение относится к высокопрочной бесшовной стальной трубе, подходящей для использования в отношении трубных изделий нефтепромыслового сортамента или труб для магистральных трубопроводов, а в частности, к улучшению стойкости к сульфидному коррозионному растрескиванию под действием напряжения (ниже в настоящем документе обозначаемой термином «стойкость к растрескиванию СKН») во влажной сероводородной среде (кислой среде).",высокопрочная бесшовная стальная труба;
"Технический результат: получены новые соединения, которые могут быть полезны в борьбе с насекомыми-вредителями.",борьба с насекомыми-вредителями;
"Изобретение относится к способу получения цементных композиций, удерживающих осадку или удерживающих осадку с высокой ранней прочностью.",способ получения цементных композиций;
"Настоящее изобретение относится к области получения оксида ванадия, в частности относится к способу приготовления оксида ванадия.",получение оксида ванадия;
"Группа изобретений относится к системам и способу составления штифтовых структурных соединений, которые могут быть использованы для возведения мачт буровой установки.",система и способ составления штифтовых структурных соединений;
"Изобретение относится к катализатору гидродеметаллирования и гидродесульфуризации, к каталитической системе и способу гидрообработки тяжелого углеводородного сырья.",катализатор гидродеметаллирования и гидродесульфуризации;
"Изобретение относится к применению твердого материала для гидрофобизации строительных растворов, не содержащих или содержащих менее 5 масс.% цемента, порошка для их гидрофобизации, сухих рецептур строительного раствора, не содержащих или содержащих менее 5 масс.% цемента, а также к способам их получения.",гидрофобизация строительных растворов;применению твердого материала;
"Изобретение касается покрытия для поршней, в частности, покрытия для направляющей части поршня двигателя внутреннего сгорания.",покрытие для направляющей части поршня двигателя внутреннего сгорания;
Технический результат - повышение активности катализатора.,повышение активности катализатора;
Изобретение позволяет высокоэффективно утилизировать летучую золу.,утилизация летучей золы;
"Настоящее изобретение относится к способу получения модифицированного (со)полимера на основе сопряженного диена, модифицированному (со)полимеру на основе сопряженного диена и каучуковой композиции.",получение модифицированного (со)полимера;сопряженный диен;
"Настоящее изобретение создано в связи с вышеупомянутыми проблемами, и задача настоящего изобретения заключается в обеспечении установки для получения двуокиси углерода из отходящих газов, в которой ребойлер регенератора может быть компактно установлен, термическое разложение раствора амина незначительно, и мощность компрессора для СО2 может быть уменьшена.",получение двуокиси углерода из отходящих газов;
Технический результат изобретения - возможность контролируемым образом изменять концентрацию керамических частиц в заготовке и достижение необходимых механических свойств.,изменение концентрации керамических частиц в заготовке;
"Целью настоящего изобретения является разработка композиции электроизоляционного масла, которая имеет характеристики, соответствующие ее применению.",композиция электроизоляционного масла;
"В результате очень тщательного исследования, проводимого для достижения вышеописанной цели, авторы данного изобретения завершили это изобретение обнаружением природной разновидности ячменя, которая полностью лишена активности LOX-1, и идентификацией нового мутантного гена LOX-1 из этой разновидности ячменя.",активность LOX-1;обнаружение природной разновидности ячменя;
"Изобретение касается способа получения углеводородного компонента и, в частности, способа получения высококачественного разветвленного насыщенного углеводородного компонента биологического происхождения, используемого в качестве нового типа базового масла.",способ получения высококачественного разветвленного насыщенного углеводородного компонента биологического происхождения;
"Целью данного изобретения является обеспечение поглощающей системы с низкой проницаемостью, способной поглощать проникающие газовые частицы.",обеспечение поглощающей системы с низкой проницаемостью;
"Изобретение относится к каучуковым композициям, в частности, предназначенным для получения защитного эластомерного слоя с повышенной воздухонепроницаемостью, который можно использовать, в частности, при изготовлении пневматических шин.",получение защитного эластомерного слоя;
"В частности, задачей предлагаемого изобретения является предложить способ обеспечения мезопористым углем, который является более эффективным при удалении компонентов сигаретного дыма, чем традиционный активированный уголь из кокосовых орехов, или эквивалентными адсорбционными материалами.",удаление компонентов сигаретного дыма;способ обеспечения мезопористым углем;
"Изобретение позволяет улучшить адгезионные свойства арматуры с получением удовлетворительного связывания, которое устойчиво к деградации с течением времени, особенно к термическому и/или термоокислительному старению и к коррозии в присутствии воды.",улучшение адгезионных свойств арматуры;
"Задачей настоящего изобретения является разработка смазочной композиции, обладающей значительно улучшенной смазывающей способностью.",улучшение смазывающей способности;разработка смазочной композиции;
"Технический результат – обеспечение сополимера, способного улучшить диспергируемость технического углерода и диоксида кремния в резиновой композиции при использовании сополимера как части резиновой композиции, улучшение технологических свойств резиновой композиции при смешении, формовании или вулканизации, а также обеспечение у резин на ее основе отличного сопротивления качению и износостойкости при незначительном ухудшении механической прочности и твердости.",улучшение диспергируемости технического углерода и диоксида кремния в резиновой композиции;обеспечение сополимера;
"Изобретение относится к композиции смазывающего масла для двигателей внутреннего сгорания, более конкретно к улучшенной композиции смазывающего масла для двигателей внутреннего сгорания, где улучшение заключается в эффекте снижения трения, стойкости к окислению и свойстве ингибирования коррозии путем использования в сочетании (А) соединения неполного эфира жирной кислоты, (В) (b1) соединения алифатического амина и/или (b2) соединения амида кислоты, (С) специфического сукцинимидного соединения.","композиция смазывающего масла для двигателей внутреннего сгорания;использование в сочетании (А) соединения неполного эфира жирной кислоты, (В) (b1) соединения алифатического амина и/или (b2) соединения амида кислоты, (С) специфического сукцинимидного соединения;"
